word => count, index
कक्षा =>1516
मार्ने =>73
बहलाउनु =>2
बसिरह्यो =>2
पागल =>59
भइन्छ =>10
चाहिँ =>325
बुट्टा =>5
कमाई =>65
बुने =>11
व्यबसाय =>2
झिलिमिलि =>1
बालिन्छ =>1
बैकर्स =>1
बिष्णु =>20
अभिजित =>3
कर्सियल =>1
धर्म =>299
सिटिजनस् =>1
मुड =>41
राजपन्त =>2
सेल =>52
प्रयोगर्कता =>1
सपिङ्ग =>6
योजाना =>1
पन्ध्रौं =>1
ल्ँच्क् =>1
हिसाव =>28
बैककोे =>1
चुँत्ता =>1
पुजी =>1
मैनाली =>83
ध्वज =>2
समावेसीकरण =>1
न्द्दण् =>1
मेरुढण्ड =>1
हालकोभिड =>1
व्यावसाय =>6
नविनतम =>12
पूर्वक =>7
नेपालकँे =>1
बिगमार्ट =>4
समयसान्दर्भिक =>1
लावान्भित =>1
ओम्नी =>4
स्तरोन्नती =>26
शुमारम्भ =>1
प्रविधिमैत्री =>46
दुरुस्त =>27
ब्राउजर =>117
सुविधाअन्तर्गत =>14
विदुर =>33
खड्ग =>24
भन्ज्याङ =>3
कम्प्युटर =>672
प्रध्यानाध्यापक =>8
शालिग्राम =>21
अध्यनरत =>21
विधार्थी =>23
सुषुप्त =>5
कोषू =>1
जोडिएर =>34
भगवती =>76
गुठी =>107
करोडौँ =>74
भक्तजन =>84
चढाए =>18
कटाएर =>21
पुजारी =>43
डालो =>3
हालेर =>75
गर्थे =>117
बलि =>53
सत्तल =>10
भजन =>40
वन्यजन्तु =>108
भ्यूप्वाइन्ट =>1
धर्मशाला =>25
वृद्धाश्रम =>21
मालढुङ्गा =>2
बनाइने =>61
फछ््र्यौट =>3
लिएवापत् =>1
गर्दथ्यो =>30
मध्यराति =>12
मुजफ्फरपुर =>2
अन्दरदेशीय =>1
प्रसारणलाइनमार्फत् =>1
परिरहँदा =>3
फड्को =>34
लिमिटेडलेसाना =>1
विपन्नवर्ग =>1
खड्गभन्ज्याङ =>1
मोहनराज =>10
ली =>63
उद्धेश्य =>54
तिब्र =>48
आक्रामक =>58
बिल्लिङ् =>1
कस्टमर =>6
मार्केटिंग =>2
ईन्टरनेट =>11
इंट्रानेट =>1
तिब्रगति =>2
तूफान =>8
एमबिपिएस =>3
युट्यूब =>2
तानसेन =>44
पन्ध्र =>39
अशोककुमार =>10
पठाउनेछ =>11
शुक्लागण्ड =>27
साँखे =>2
शुक्ला =>17
गाछेपानी =>2
पशुपङ्क्षी =>1
लाइभस्टक =>3
सेक्टर =>19
विकेन्द्रीकृत =>1
गर्र्नेछ =>1
विकेन्द्रिकृत =>1
दही =>27
घ्यु =>11
आईसक्रिम =>1
दुलेगौडा =>1
खैरेनीटार =>1
सहकारीमार्फत् =>1
गाईभैसी =>2
नगरक्षेत्र =>18
विक्रीवितरण =>5
बाँडफाट =>1
योेग्य =>1
लगानीकोष =>2
बरहथवा =>7
बैकिङ्ख =>2
बनेको =>7
थिम =>35
योद्धा =>50
एक्टिभेसन =>7
वीर =>107
गैरसरकारी =>82
आरएनए =>6
अभ्नी =>1
रिसाइक्लर्स =>1
ब्लू =>38
नायक =>443
बाढ्दै =>2
कोक =>6
कन्टूर =>1
ग्लास =>33
एम्बेसेडर =>8
स्वस्ति =>45
प्राध्यापक =>375
भूपेन्द्र =>25
नर्स =>98
टीम =>120
डाक्टर =>398
निडर =>16
जित्यौँं =>1
उत्प्रेरना =>1
फ्रन्टलाइन =>21
बलियोे =>2
गर्नेे =>8
प्रियजन =>15
सथै =>1
डाउनलोड =>333
इसेवामनि =>2
इसेवावालेट =>1
विपे्रषण =>4
भित्राउँदै =>3
स्विकृति =>17
दशलाख =>2
फिनटेक =>4
रेसुङ्गाडेभलपमेण्ट =>1
लुम्विनी =>10
साइन =>55
नेपालभरर =>1
देउपुर =>11
लाहाचोक =>6
आवासगृह =>4
पहुँचमार्ग =>7
मोदीखोला =>2
सेतीनदी =>1
मर्दीखोला =>3
मेगावट =>1
प्रीमियम =>6
केयल =>2
पोलिसि =>1
सर्पाइज =>1
विश्वासनीयता =>2
आइपीएस =>1
समयसापेक्ष =>15
परिष्कृत =>12
शपिंग =>1
कस्टूमर =>1
शिपिंग =>2
स्वचालन =>2
अनुकूलन =>6
दियौं =>9
ताकि =>39
सकौं =>5
निपुण =>4
कम्पनि =>15
वर्षभर =>6
मूर्त =>13
निष्काशित =>4
बोन्ड =>11
सूचीकरण =>21
श्रीचन्द्र =>1
निरन्जन =>2
फुयाल =>6
गराउँदछौ =>2
अर्धवार्षिक =>13
बास्मती =>2
खानयोग्य =>1
पोलिसिङ =>1
गरीसुर्खेत =>1
प्रतिबन्धलगाए =>1
बहाल =>22
एकाउन्ट =>61
करदाता =>19
सेवाएकाउन्ट =>1
सेवाभए =>1
सेवाफोन =>1
बाँसगढी =>6
बेलौरी =>6
कावासोती =>29
धनगढीमाई =>9
मध्यविन्दु =>5
नमोबुद्ध =>22
पुनर्वास =>9
सुन्दरहरैचा =>4
तिलोत =>1
विष्णुपुर =>3
जोरपाटी =>22
केराबारी =>5
थुलुङ =>12
इमेल =>226
आइडी =>74
सेवाजोन =>1
इन्स्योरेन्स् =>4
पालुङटार =>27
टर्कीपालन =>23
अल्मराई =>4
जीवमनि =>4
रियल =>391
मिठु =>3
सार्की =>36
घरनजिक =>3
देखेँ =>33
गरेँ =>114
बनाउनुभए =>7
सिलसिला =>78
लगाउनुभए =>10
आफँै =>11
जन्मथलो =>24
पौरख =>13
कमाएका =>2
आत्मासन्तुष्टि =>2
माध्यामिक =>86
गराउनुभए =>21
अमरज्योति =>3
हुनुहुन्छ =>215
पोलिटेक्निकल =>7
एलइडी =>20
उत्तरदायित्वअन्तर्गत =>3
उपरिक्षक =>18
वैतडी =>3
गोरुसिंगे =>4
वयलवास =>2
मलेखु =>5
अमरापुरी =>2
भुमही =>2
चावहिल =>24
वौद्धिक =>9
वालवालिका =>9
विरामी =>153
राधाकृष्ण =>11
उदयदेव =>3
गणेशस्थान =>1
फुजोड =>1
डस्टविन =>3
भद्रकाली =>11
बिसौनी =>5
बितरण =>47
सर्बसम्बत =>1
निर्बिरोध =>2
पूर्नगठन =>1
लेखापरिक्षक =>2
एसोसिएट्स =>1
भबिष्य =>3
गाभ्नेरगाभिने =>1
सहमती =>21
सम्पती =>3
मूल्याकङ्गन =>2
लगाएत =>21
नोबेल =>205
भाईरस =>11
बटा =>5
कार्यालयहरु =>1
बीउविजन =>4
नवील =>6
प्रेमनारायण =>9
दीपकबहादुर =>7
सङ्काय =>51
डीन =>46
प्राडा =>91
एमओयू =>6
जन्माउने =>23
आमूल =>19
पढ्नुपर्ने =>1
विनाधितो =>1
उद्यमशिल =>2
ठूलाठूला =>16
यथेष्ट =>9
भेटिएका =>5
सन्तुष्टि =>31
इन्टर्नसीप =>2
बगाउने =>8
जानुपर्ने =>9
विश्वविद्यालयल =>4
ब्याचलर =>14
इन्ट्रिप्रिन्यूरशीप =>1
प्रमु्ख =>1
सूर्यबहादुर =>43
लीलाप्रसाद =>4
बोले =>102
कत्तिक =>2
बढिरहेको =>9
बाहृय =>20
सिलिण्डर =>58
प्रेट्रोलियम =>1
दालचिनी =>1
सुगन्धित =>10
जयबहादुर =>8
हदै =>5
नल्याई =>3
रोकिँदैन =>7
मिसाए =>5
ठाकुरबाबा =>7
भुरीगाउँ =>2
भुरिगाउँ =>2
तोकिएका =>2
भएकोे =>13
बिहिबार =>105
महानगपालि =>2
तले =>37
गुद्रीबजार =>1
सचेतक =>50
उपउपप्रमुख =>1
इन्दिरा =>55
भगत =>20
सवल =>11
नगरवासी =>16
नियावली =>1
ह्यात =>2
सुरेन्द्रभाई =>1
लाइफलाइन =>8
कोरला =>13
सडकखण्ड =>46
नहुदाँ =>4
काभ्रेभीर =>2
उपरीक्षक =>184
श्यामकुमार =>11
बेलुकी =>74
रुप्से =>17
पैदलयात्री =>7
काभ्रेभिर =>2
विस्फोटक =>17
चौडा =>19
कालीगण्ड =>119
तीव्रगति =>7
गाउँपालिकासगँ =>2
गाउपालिका =>11
बिक्र्रम =>4
सिफारीस =>5
तेस्ता =>1
रोेजगारी =>1
सृजना =>82
वर्गिय =>5
सिता =>11
ल्याएको =>5
दिदै =>60
सहयोगरहने =>1
गाउँपालिकाबासी =>2
दिवश =>4
स्वय =>3
गरिसक्न =>4
दिर्नेशन =>1
काठमाडौैँ =>1
प्राधिकरणकोे =>1
बिऊ =>13
लगाउँदा =>53
भित्राए =>20
नोक्शानी =>1
रैथाने =>23
लुकाईछिपाई =>1
लाने =>22
जेल =>255
भित्राउने =>22
लोप =>46
गेस्ट =>16
संग्रहालय =>86
म्युजियम =>19
समुहअन्र्तगत =>1
ठमेल =>156
मानोर =>1
हात्तिसार =>2
बुढानिलकण्ठ =>16
मारुनी =>10
स्यान्तुरी =>1
लज =>63
भ्यू =>62
वाटरफ्रन्ट =>1
बुद्धमाया =>1
एकमष्ुठ =>1
प्रणालि =>2
स्वीकृतप्राप्त =>1
बैकर =>1
मञ्जुश्री =>23
लिलामी =>58
निर्धाण =>2
गोप्य =>104
कोहि =>17
सुचना =>70
उत्त =>4
ठिमी =>12
नेपालगंज =>13
घोराही =>42
वालुवाटार =>2
रेडक्रस =>67
आतिथ्य =>34
वढी =>7
मेरा =>453
हेल्थ =>243
विभागकोे =>1
स्वदे =>1
दोस्रा =>5
विवरणानुसार =>2
ऊनी =>15
गलैंँचा =>1
बुनिए =>12
अबधि =>10
उत्ति =>148
युनटि =>1
ट्युवबेल =>1
रघुगङ्गा =>20
सट्टाभर्ना =>2
पैतीस =>1
मङ्गले =>2
राहुघाट =>9
तुँदी =>4
नरबहादुर =>21
मराङ =>2
दस =>85
वृक्षरोपण =>14
हेरालु =>2
चन्द्रमणि =>14
पोखरी =>228
पर्यापर्यटन =>26
सबडिभिजन =>2
बहुवर्षीय =>4
असुल्ने =>22
गाडीधनी =>2
यत्रतत्र =>11
रोहबर =>4
असुल्न =>10
विपुल =>9
गेझा =>2
बर्दले =>1
बेझाड =>4
मनिराम =>2
रामटार =>1
रमणबहादुर =>3
तोक्नेछ =>1
अटेर =>23
असुले =>8
ठाडाखानी =>3
शिरान =>3
तामाखानी =>10
उत्खनन् =>18
पर्खाई =>5
भिर =>36
गरेवापत =>11
भेजा =>1
बूढापा =>4
बित्यो =>37
विक =>112
जाती =>18
साँट्ने =>1
लाग्नुपरे =>1
वडासदस्य =>3
टेकजीत =>1
प्रवेशद्वार =>52
छिरे =>50
पहुँचकोलागि =>1
लिला =>23
तेज =>71
गाँउपालिका =>25
गोपी =>19
पलायन =>43
याइ =>4
रासन =>8
आफ्ना् =>1
बेसिन =>6
युएसएआइडी =>3
एक्टिभिटी =>8
बहुआयामिक =>26
खत्याड =>6
सोरू =>1
छायाँनाथ =>7
कालिकोट =>41
महाबै =>2
शुभकालि =>2
तिलागुफा =>4
खाडाचक्र =>3
नरहरिनाथ =>6
रामारोशन =>3
पन्चदेवल =>1
कमलबजार =>2
तुर्माखाँद =>1
आठविस =>2
ठाटीकाँध =>1
चामुन्डाविन्द्रासैनी =>1
भैरवी =>10
दुल्लु =>10
पञ्चपुरी =>9
चौकुने =>11
मधुवन =>14
गेरूवा =>1
राजापुर =>29
लम्कीचुहा =>3
मोहन्याल =>1
नीलु =>1
बस्न्यात =>13
सङ्घीय =>112
वातवरण =>4
दिसाजन्य =>2
जैविक =>88
सङ्कटासन्न =>1
बहुउपयोगी =>11
जलप्रणाली =>1
कृृषि =>1
छवटा =>12
लेदो =>8
निस्शुल्क =>12
सेभिङ्ग्स =>3
संग =>13
रजिस्ट्रेशन =>3
बैंकिंग =>3
मार्फत् =>94
ब्त्ः =>1
देवयानी =>2
क्षेत्रमा =>4
रबिन =>7
देबयानी =>1
नायव =>43
रितुराज =>2
केएफसी =>2
पिज्जा =>32
हट =>25
वेवरेज =>1
मगंलबजार =>1
काकार्यक्रम =>1
आँखा =>722
साक्षारता =>2
कार्यक्र =>18
सेन्सेटि =>2
शीर्षस्थान =>25
बरुण =>8
कर्णली =>1
आरबिबी =>1
भीमदत्त =>30
दोधाँरा =>2
गोर्खाली =>24
लेखक =>1195
झल्किने =>28
तस्बीर =>12
गर्दैछौँ =>11
अतिविपन्न =>4
त्रिपाल =>10
प्रतिपरिवार =>5
गोदावारी =>7
दीपायल =>3
जिल्ल =>5
जयपृथ्वी =>8
मुद्धति =>2
भनि =>80
ब्यवस्था =>41
मुुगु =>1
परी =>265
महेन्द्रबहादुर =>18
मृतक =>270
न्त्रालय =>1
पे्रस =>1
उपनियम =>2
रिक्त =>38
चन्द्रबहादुर =>21
हिमबहादुर =>4
मनोनीत =>7
पेन्सनवाला =>3
ज्योतिरादित्य =>4
सिन्धिया =>3
ट्वीटमार्फत् =>4
दिपावली =>14
रतीय =>1
सैनिक =>344
कार्यालयअन्तर्गत =>2
भएनन् =>44
ज्ञानराज =>1
दरबन्दी =>194
चलाउनु =>35
इञ्जिनीयर =>16
आउनै =>13
नचाहने =>23
बल्लबल्ल =>8
हिँड्छन् =>13
गरिँदा =>11
बालकोट =>9
काठमाण्डौं =>45
काठमाण्डौंं =>1
कलं =>12
टेकु =>33
ग्वार् =>5
चुच्चेपाटी =>1
सामाखुसी =>7
सोह =>2
महाराजगंज =>5
बोडे =>9
गठ्ठाघर =>3
सानेपा =>16
मंगलबजार =>5
बालकुमारी =>16
हरिसिद्धि =>3
डोलाहिटी =>1
भैंसेपाटी =>3
कुमारीपाटी =>4
एकान्तकुना =>7
बिस्तारित =>4
मैतीदेवी =>10
मर्चेण्ट =>3
माइजोगमाई =>3
माइखोला =>1
माइबेनी =>2
पाँचहजार =>4
मेरोशेयर =>4
ईक्रा =>1
आईआर =>4
माइनस =>28
पुःन =>3
झट्ट =>26
चट्ट =>5
एप्स् =>3
सेण्ड =>5
राष्ट्रबैंक =>4
अनुमतिप्राप्त =>4
उपमेयर =>36
गीता =>80
सत्याल =>15
ज्यापू =>2
तीर्थलाल =>1
हेम =>17
मनोजबहादुर =>1
न्याछ्यं =>1
उद्घाटन् =>1
जनउत्थान =>1
ओमसतीया =>1
गाँउपाली =>1
पडसरी =>1
आर्शिबाद =>1
सदस्यस्व =>1
गुरुङ्ग =>15
नीज =>3
श्रीमान =>108
रबिन्द्र =>13
श्रीराम =>17
बिक्रि =>165
मैलुङखेला =>2
शेयरमूल्य =>3
सुत्रिय =>1
ब्यवस्थापन =>45
सस्थान =>1
नरोकिने =>14
पुर्व =>39
सम्झौना =>1
उत्रिन =>14
रप् =>1
चैत्र =>110
किटान =>9
नगरिएकोहा =>1
निशेध =>2
बिज्ञप्ती =>3
चौतारा =>28
गणेशप्रसाद =>15
हिउँदेबाली =>6
सिल्क =>15
डिएपी =>4
खासा =>5
रेकिएर =>2
गुहँबाली =>2
झिकाउन =>3
मध्यभोटेकोसी =>1
नपरेका =>6
शेयरबापत =>4
हुबहु =>23
हद =>86
आवेदककोे =>1
नामावली =>23
नसकेकोे =>2
खोस्ने =>7
युद्ध =>299
उतै =>37
होडवा =>1
खोसे =>9
खोस्न =>19
नसकिदै =>3
चल्यो =>47
बन्यो =>155
आत्तिए =>14
घट्नेछ =>6
बढ्नेछैन =>1
गर्र्न =>2
निर्देशनानुशार =>1
सनराइज् =>2
दिननै =>2
अम्बी =>4
एलएलसी =>6
न्युयोर्क =>68
टेक्सास =>41
क्यालिफोर्निया =>69
एक्सक्लुसिभ =>3
हुनसक्नेछन् =>1
वेवसाइटमार्फत् =>1
निश्चितप्रायः =>1
मालामाल =>3
किर्तिमान =>17
बचन =>21
चलेको =>3
बँगलादेश =>4
पशुहाट =>2
दसँै =>4
भट्ट्राई =>1
ल्याइन्छ =>5
हाट =>10
ल्याउँछन् =>7
बाख्रापाल्ने =>1
दैनिकजसो =>26
हाँडेभिर =>4
बगरफाँट =>12
सुर्केमेला =>2
बरङ्जा =>1
जनसहभागिता =>6
पूर्णबहादुर =>36
खण्डअन्तर्गत =>6
बाहुनडाँडा =>12
थामडाँडा =>3
साबित =>50
ओखरबोट =>3
सोलेडाँडा =>2
तमान =>4
लामेला =>6
खेप्दै =>12
बेनीकोत =>2
शीतकालीन =>3
तेह्रौँ =>5
शताब्दी =>176
कोतघर =>23
पर्यटकीयस्थल =>143
कार्यपालिका =>45
अनोद =>2
घेराबार =>8
रेलिङ =>15
भुइँ =>57
टहलिन =>3
शीतकालिन =>2
कर्णबहादुर =>16
बानिया =>7
राजा =>347
गर्मीयाम =>8
ढोलथान =>2
तोप =>7
तरबार =>28
हतियार =>156
पौराणिक =>21
ननासिने =>2
पदमबहादुर =>13
बडादसँै =>1
चैतेदसैँ =>4
चढाउने =>32
गर्नसके =>14
लम्बाउन =>4
व्यासनगरपालि =>3
गल्बुबेसी =>3
रामनाथ =>14
मह =>43
मौरी =>69
जाँगर =>29
चाहिदैँन =>2
घार =>20
थाल्नुए =>1
सेरेना =>7
मनग्ये =>6
दाम =>19
बन्नु =>56
आना =>34
छत =>32
बरण्डा =>6
पेटी =>24
पालक =>9
घरै =>33
सङकलन =>1
पाल्न =>14
प्रतिघार =>3
पाल्ने =>21
जोगाउने =>48
लाज =>48
मान्नुहुन्न =>3
दसँैतिहार =>1
बाटोहँुदै =>1
उत्पादिन =>3
बैंगलोर =>44
लोडसेडिङ्ग =>1
नलिंदा =>1
बँगालेश =>1
निर्माणधीन =>7
बुढीगण्ड =>2
माथिल्ला =>7
खरबौं =>1
बेचेरै =>3
लिनसक्छ =>3
पूरागरी =>1
मुसा =>42
टान्सपोर्ट =>1
सीपीभीसी =>2
पाइप्स =>3
फिटिङ्स =>2
मंगलम =>9
प्लम्बर =>1
प्लम्बिङ =>3
करेन्ट =>26
खसेर =>33
पात्र =>413
प्ल्मबर =>1
चुरिवाल =>1
प्रदानगर्दै =>3
व्यर्थ =>13
दिँदैनौं =>4
किनकि =>176
भलो =>10
गर्नेछौँ =>29
पोलिमर =>6
पाइपिङ =>1
ग्लोवल =>14
गरेकोे =>27
अवोदन =>1
रीता =>24
रघुवंशी =>2
बासुप्रसाद =>1
गाभ्न =>2
गाभिन =>4
सिँञ्चाइ =>1
जलस्रोतमन्त्री =>2
चुलोे =>1
ठेचो =>3
वेथेगल =>2
चियापान =>6
राजकाजी =>2
जुटाएर =>26
जगतबहादुर =>10
समन्वयात्मक =>7
रामजी =>32
जुट्न =>14
हि =>26
औल्याउदै =>1
तटस्थतावादी =>1
सोचबाट =>1
औल्याउँदै =>3
सुखी =>34
पहारी =>51
लेकसाइड =>44
जोगाउनु =>17
आवश्यता =>3
पोेखरा =>1
गोकर्ण =>32
पोमनारायण =>1
तारानाथ =>41
चिफ =>35
अफिसर =>53
वैद्य =>63
होमबहादुर =>8
दम्पत्ति =>29
शुभज्ञान =>2
शहयात्री =>1
एक्टिभ =>23
जिवी =>6
सप =>18
टिसीएल =>1
सेन्सेई =>1
डेकोर =>1
हरमटारी =>2
घरदैलो =>20
बंैकिङ =>1
प्रतक्ष्य =>1
भिट्ठामोड =>2
विधिवत =>14
चारचक्के =>2
दुईपाङ्ग्रे =>2
पिसिआर =>87
पाङग्रे =>2
सयौँ =>89
ओहोरदोहोर =>27
फाट्टफुट्ट =>30
महोत्तरीवासी =>1
हिडाइ =>4
भएपनी =>4
महङ्गिए =>3
यसपटक =>42
भित्र्याउए =>2
हिमालपारी =>4
च्याङ्गरा =>1
अधिकाँश =>4
दुइ =>65
प =>108
खानै =>10
हिडाई =>2
कष्टकर =>20
आगमी =>6
छोइ =>2
अम्मर =>2
च्याङ्गा =>4
आउदै =>10
हिमालीक्षेत्र =>3
खाएर =>101
हुर्के =>37
कुखुरा =>67
हुँने =>14
आसोज =>2
उपभोक्तास्तर =>1
दिईन् =>8
छु =>10
जनस्तर =>15
भत्किए =>80
मच्छिन्द्रनाथ =>2
लाग्नुपर्ने =>11
गरीन् =>9
कालखण्ड =>42
पाटा =>131
समयानुसार =>28
मूल्यमान्यता =>14
बताईन् =>29
संवत् =>13
बाराही =>22
ब्रुअरी =>8
लफडा =>9
बताईए =>7
काल्र्सवर्ग =>2
प्राली =>23
निहुँ =>27
खोज्दा =>73
काल्सवर्ग =>3
अजितबाबु =>1
दोहोर्याउने =>2
सहाय =>2
लविङ =>1
बाराबार =>3
पस्न =>19
पी =>59
छोडेका =>2
गाईँगुईँ =>1
बोलाउन =>13
हुननै =>1
सारो =>5
गाह =>14
लिओस =>1
रत =>2
नेतृत्वदायी =>15
नखेलेको =>1
असन्तुष्ट =>41
बियर =>25
ब्रुअअरी =>1
टुबोर्ग =>37
मापदण्डविपरीत =>4
खस्किँदो =>3
जबर =>1
गाउँपाली =>3
माई =>42
इक्रा =>3
आइआर =>2
दायित्वबहन =>1
ढाड =>28
सेक्ने =>4
श्याम =>67
तेइस =>2
गैरजिम्मेवार =>15
इन्द्रमाया =>21
टिभियस =>5
एकमात्रआधिकारिक =>1
माइलस्टोन =>4
एनटर्किएन =>3
सेलिब्रेसन =>16
मिराबेल =>3
रिसर्ट =>1
बीचमामहालक्ष्मीस्थान =>1
कौशलटार =>5
टिभियसकाशोरुमहरुकाविव्र =>1
ेता =>1
भेन्यु =>6
रोजिलिन =>1
म्युजिक =>314
मनोरन्जक =>1
अन्तरक्रियात्मक =>13
चुनिए =>36
एनटर्किएनक्लब =>1
राइडर =>20
एकअर् =>7
जुड्नकालागी =>1
एनटर्किएनअनुभवएकअर्का =>1
बाडँ्नमद्दतगरे =>1
अनलाइनदर्ता =>1
भागलिएकाथिए =>1
सुरक्षाप्रोटोकल =>1
अप्नाएर =>1
पाउँदाअत्यन्तै =>1
एनटर्कियन =>2
बधाई =>90
चाहन्छौँ =>23
उत्साहितयुवा =>1
हर्षित =>33
आशागर्दछु =>1
कार्यव्र =>8
आयोजनागर्दा =>1
अनुभवगर्यौ =>1
एनटर्कियनराइडर =>1
राइडमात्यति =>1
अनूभूति =>1
मोटर्सप्राइभेट =>1
दृढ =>32
राइडरहरुलेहामीे =>1
स्वर्ण =>237
तिनी =>91
नेपालमापहिलो =>1
ब्लुटुथ =>35
आºनो =>2
टेक्नोलो =>36
बिव्र =>1
ीहुने =>1
बन्नपुगे =>1
इन्डस्ट्रि =>1
उच्चप्रविधि =>1
पर्यायवाचीभए =>1
टिभियसकापाँचप्रकार =>1
जसमाएनटर्क =>1
ड्रम =>6
रेस =>15
एडिसन =>7
स्क्वाड =>4
आरटिएफआई =>1
पर्दछन् =>28
सार्बजनिक =>19
भाग्शाली =>1
टपअप =>3
फ्ल्यास् =>3
एयरलाइन्स् =>2
रिटर्न =>7
हु्नेछ =>1
सकिनु =>19
हवाइजहाज =>21
स्कुलकलेज =>3
तथावित्तीय =>4
रकमजम् =>3
अफरं =>1
भ्यालुएटर =>1
सीरीज =>6
शामिल =>2
बखत् =>1
सक्दछन् =>129
किनिसके =>5
पुगोस् =>28
खोलाबगर =>2
पल्टाइ =>4
चिसो =>272
मैला =>8
जाँचकी =>1
निकाली =>8
शुल्कवापत =>6
मितेरी =>21
पल्टी =>3
रेखदेख =>37
पिपिइ =>8
लगाई =>43
पाईने =>11
एज =>54
गो =>65
पावन =>4
यूनाइटेड =>10
पेन्ट्स =>11
भिडियोकन =>1
जित्नसक्नेछन् =>1
चिन्ह =>36
डेल्ली =>1
विक्ली =>1
जनस्वास्थ्य =>170
फिल्महल =>1
फिल्म =>3210
मार्फतनै =>2
खोलिने =>19
शुभलाभ =>5
खाताू =>1
निस् =>4
विस्तारीत =>2
ज्ञानेश्वर =>4
आफनो =>42
बिएस =>2
अनेक =>178
एक्सएमप्लस =>3
अनुुसार =>8
पूरापूर =>2
चुजी =>7
पावरट्र्ेन =>1
सूपथ =>4
छदै =>1
साँचो =>51
स्टालिइस =>1
ल्याइदै =>2
आधिकारीक =>27
बूकिंग =>1
टुएस =>1
समुदघाटन =>2
बिशिष्ट =>10
रिबन =>9
काटी =>7
प्रतिबद्घता =>10
स्पेयस =>1
उदाए =>30
टुर्स =>38
पुलिस =>194
समुद्घाटन =>6
आइएमएस =>5
ट्याबलेटस् =>2
वहार =>2
बीओके =>2
कार्डवाहक =>12
ब्याजदरकोे =>1
सेवाशुल्क =>1
खाद्यसामाग्री =>2
निधि =>19
मेमोरियल =>37
बसुन्धारा =>2
बेड =>205
डाएग्नोस्टिक =>1
र्फामेसी =>1
प्रक्रियामा =>1
कारोबारलार्ई =>2
मिस्डकल =>1
केभि =>2
इनर्वा =>7
ट्रन्समिसन =>4
नामग्य =>1
खम्पा =>2
घिसिड =>1
सिंगो =>40
गुणस्तरिय =>19
सोलु =>8
आइतबारसम्म =>1
अफरअन्तर्गत =>6
पस्किन =>6
थालिसके =>9
ह्विस्की =>10
वाइन =>25
भोड् =>4
जिन =>20
महँगा =>19
रक्सि =>1
फिनिक्स =>30
व्डढ =>2
क्ष्लनभि =>1
द्यबचचभ =>1
िःबति =>1
बताउँछ =>33
ब्यस्त =>24
छड्के =>15
बताउनुभए =>103
पन्छि =>2
प्रदेशस्तीय =>1
कमिशन =>10
लिलावल्लभ =>2
स्वस्थ्य =>21
आलोचना =>278
मजवुत =>1
कालीप्रसाद =>18
यज्ञ =>22
कार्यपत्र =>61
सङ्क्रमित =>2376
पत्रपत्रि =>7
लुईँटेल =>2
सञ्जिव =>8
सञ्चारि =>1
अनन्त =>79
श्रमजीवी =>15
अप्रिलिया =>1
समाग्री =>12
क्याटगोरी =>8
युनिक =>14
सक्छ्न =>1
प्रतिसत =>1
कारोबारमापन =>1
परिसुचक =>1
बैंकिङ् =>3
जलविद्युुत् =>1
रैराङ्ग =>1
दिव्यश्वरी =>1
राधि =>1
जनाएकोे =>4
बैंठक =>5
बैध =>2
भित्रनु =>3
दुःखद =>22
प्रथामिकता =>8
ओगट्नु =>2
लागउन =>3
गर्दछौ =>6
पोस्ट =>268
भन्सारदर =>2
लगाउना =>7
विघा =>11
केराखेती =>2
पाइनु =>3
खोलीसके =>1
टिडिएस =>1
कट्टि =>1
जनाईए =>12
हुनुभए =>44
आधारभुत =>39
फण्डामेन्ट =>1
सेकेण्डरी =>4
रहनेछन =>2
पिएमएस =>1
चौडण्डीगढी =>1
थप्रै =>2
अपोइन्टमेन्ट =>17
बिबरण =>2
स्तरोन्नत्ती =>1
नगई =>13
मोवाईल =>7
बसिबसि =>1
एकाई =>14
अन्तशुल्क =>11
हेफर =>8
पशुपालक =>3
बाख्रापालन =>5
खसीकोबा =>1
सिराहा =>6
कोशेली =>11
छेको =>8
टुकुचे =>3
घट्छ =>9
लेखेर =>90
टाँस्ने =>4
पल =>259
डिसी =>30
राजदूतावास =>54
कश्मीर =>19
बाँडे =>58
चाना =>1
सुकाउने =>4
सुधीरा =>1
अन्तराष्ट्रिय =>190
जगदीश =>11
बोलपत्रदाता =>1
पर =>127
सरेका =>3
बढाइना =>2
गरिएकोे =>13
गोङ्गबु =>3
पारस =>72
बट्टार =>3
सोताङ =>5
हुलु =>2
ठेगाना =>91
मनकुमारी =>7
कवित =>6
कटवाल =>13
साथि =>8
माप्य =>2
वाकु =>6
सोलाबन =>2
हाकुला =>2
झर्नेेक्रम =>1
छुट्टिए =>16
बुबा =>256
चित्रबहादुर =>14
प्रहरीचौ =>6
सोताङकाट =>2
घटनास्थल =>106
खोजीकार्य =>5
मुलु =>4
नाकामध्ये =>2
पर्साअन्तर्गत =>2
फस्टाउने =>10
पलाए =>26
केडिया =>22
विजयकुमार =>22
सरावगी =>28
विन्दुलाल =>2
नजिकिँदैछ =>2
बढाउनुपथ्र्यो =>1
मनपरि =>6
पारसनाथप्रसाद =>2
ज्यूँदो =>5
कुरुवाङ =>1
माथिको =>1
बोे =>1
फरए =>3
रेञ्ज =>8
एन =>89
ह्याच =>9
ड्राईभीङ्ग =>2
ग्राहकहरु =>2
